"state_id","ban_year","sample_size","att","r_sq","mape","i"
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
"CT",2014,3,-0.387061363676608,0.884508131859507,0.0310348356476749,1
